Index,EMP_ID,CLM_SYS,CLM_REF,WSA_TYP,FLEXBEN_TYPE,CLM_DT,CLM_YR,CLM_AMT,RCPT_DT,RCPT_DAY,DAY_TAG,CLM.STAT,REIMB_DT,REIMB_YR,EA_DT,RISK
0,11869,WSA,EFSA0087162,FLXI,5.0,4/11/16,2016,492.0,29/9/16,Thursday,WEEKDAY,3,3/1/17,2017,21/9/17,1
1,8965,WSA,EFSA0087207,FLXI,4.0,9/11/16,2016,471.0,30/9/16,Friday,WEEKDAY,3,3/1/17,2017,21/9/17,1
2,8998,WSA,EFSA0087210,FLXI,6.0,9/11/16,2016,496.0,30/9/16,Friday,WEEKDAY,3,7/1/17,2017,21/9/17,1
3,2098,WSA,EFSA0087208,FLXI,2.0,9/11/16,2016,464.0,3/10/16,Monday,WEEKDAY,3,5/1/17,2017,21/9/17,1
4,9331,WSA,EFSA0087236,FLXI,2.0,11/11/16,2016,454.0,6/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,1
5,1841,WSA,EFSA0087222,FLXI,3.0,10/11/16,2016,467.0,6/10/16,Thursday,WEEKDAY,3,6/1/17,2017,21/9/17,1
6,8995,WSA,EFSA0087181,FLXI,4.0,7/11/16,2016,500.0,7/10/16,Friday,WEEKDAY,3,2/1/17,2017,21/9/17,1
7,8262,WSA,EFSA0087209,FLXI,7.0,9/11/16,2016,493.0,7/10/16,Friday,WEEKDAY,3,3/1/17,2017,21/9/17,1
8,8755,WSA,EFSA0087163,FLXI,4.0,5/11/16,2016,500.0,8/10/16,Saturday,WEEKEND,3,1/1/17,2017,21/9/17,0
9,3348,WSA,EFSA0087303,FLXI,5.0,15/11/16,2016,468.0,8/10/16,Saturday,WEEKEND,3,1/1/17,2017,21/9/17,1
10,7118,WSA,EFSA0087223,FLXI,2.0,10/11/16,2016,490.0,8/10/16,Saturday,WEEKEND,3,3/1/17,2017,21/9/17,1
11,9631,WSA,EFSA0087255,FLXI,8.0,12/11/16,2016,451.0,9/10/16,Sunday,WEEKEND,3,4/1/17,2017,21/9/17,1
12,11894,WSA,EFSA0087317,FLXI,5.0,16/11/16,2016,457.0,9/10/16,Sunday,WEEKEND,3,4/1/17,2017,21/9/17,1
13,8792,WSA,EFSA0087287,FLXI,8.0,14/11/16,2016,490.0,9/10/16,Sunday,WEEKEND,3,9/1/17,2017,21/9/17,1
14,2112,WSA,EFSA0087161,BIRT,,4/11/16,2016,19.6,10/10/16,Monday,WEEKDAY,3,2/1/17,2017,21/9/17,0
15,9572,WSA,EFSA0087167,BIRT,,5/11/16,2016,29.4,10/10/16,Monday,WEEKDAY,3,3/1/17,2017,21/9/17,0
16,9763,WSA,EFSA0087178,FLXI,3.0,6/11/16,2016,10.9,10/10/16,Monday,WEEKDAY,3,3/1/17,2017,21/9/17,0
17,9495,WSA,EFSA0087176,FLXI,3.0,6/11/16,2016,50.0,11/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
18,6616,WSA,EFSA0087188,FLXI,5.0,7/11/16,2016,6.56,11/10/16,Tuesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
19,10519,WSA,EFSA0087168,BIRT,,5/11/16,2016,5.7,11/10/16,Tuesday,WEEKDAY,3,4/1/17,2017,21/9/17,0
20,1738,WSA,EFSA0087201,MIIS,,9/11/16,2016,100.0,11/10/16,Tuesday,WEEKDAY,3,5/1/17,2017,21/9/17,0
21,10154,WSA,EFSA0087191,FLXI,4.0,8/11/16,2016,141.0,12/10/16,Wednesday,WEEKDAY,3,1/1/17,2017,21/9/17,0
22,2426,WSA,EFSA0087410,FLXI,2.0,20/11/16,2016,497.0,12/10/16,Wednesday,WEEKDAY,3,2/1/17,2017,21/9/17,0
23,8108,WSA,EFSA0087187,BIRT,,7/11/16,2016,10.8,12/10/16,Wednesday,WEEKDAY,3,3/1/17,2017,21/9/17,1
24,4313,WSA,EFSA0087246,FLXI,3.0,12/11/16,2016,69.0,12/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,1
25,6373,WSA,EFSA0087447,FLXI,3.0,21/11/16,2016,485.0,12/10/16,Wednesday,WEEKDAY,3,5/1/17,2017,21/9/17,1
26,10506,WSA,EFSA0087271,FLXI,4.0,13/11/16,2016,471.0,12/10/16,Wednesday,WEEKDAY,3,6/1/17,2017,21/9/17,1
27,8382,WSA,EFSA0087302,FLXI,5.0,15/11/16,2016,464.0,12/10/16,Wednesday,WEEKDAY,3,9/1/17,2017,21/9/17,1
28,11449,WSA,EFSA0087361,FLXI,7.0,18/11/16,2016,462.0,12/10/16,Wednesday,WEEKDAY,3,15/1/17,2017,21/9/17,1
29,8457,WSA,EFSA0087164,FLXI,1.0,5/11/16,2016,210.0,13/10/16,Thursday,WEEKDAY,3,2/1/17,2017,21/9/17,0
30,8692,WSA,EFSA0087381,FLXI,6.0,19/11/16,2016,466.0,14/10/16,Friday,WEEKDAY,3,4/1/17,2017,21/9/17,0
31,7961,WSA,EFSA0087218,BIRT,,10/11/16,2016,30.0,14/10/16,Friday,WEEKDAY,3,8/1/17,2017,21/9/17,1
32,5800,WSA,EFSA0087286,BIRT,,14/11/16,2016,3.7,14/10/16,Friday,WEEKDAY,3,9/1/17,2017,21/9/17,1
33,2172,WSA,EFSA0087508,FLXI,2.0,23/11/16,2016,480.0,14/10/16,Friday,WEEKDAY,3,14/1/17,2017,21/9/17,1
34,7914,WSA,EFSA0087383,FLXI,7.0,19/11/16,2016,461.0,14/10/16,Friday,WEEKDAY,3,18/1/17,2017,21/9/17,1
35,5206,WSA,EFSA0087539,FLXI,4.0,24/11/16,2016,452.0,15/10/16,Saturday,WEEKEND,3,3/1/17,2017,21/9/17,0
36,7334,WSA,EFSA0087338,FLXI,7.0,17/11/16,2016,487.0,15/10/16,Saturday,WEEKEND,3,4/1/17,2017,21/9/17,1
37,9799,WSA,EFSA0087337,FLXI,2.0,17/11/16,2016,495.0,15/10/16,Saturday,WEEKEND,3,6/1/17,2017,21/9/17,1
38,3489,WSA,EFSA0087270,BIRT,,13/11/16,2016,4.5,15/10/16,Saturday,WEEKEND,3,7/1/17,2017,21/9/17,1
39,9969,WSA,EFSA0087382,FLXI,1.0,19/11/16,2016,486.0,15/10/16,Saturday,WEEKEND,3,7/1/17,2017,21/9/17,1
