Index,EMP_ID,CLM_SYS,CLM_REF,WSA_TYP,FLEXBEN_TYPE,CLM_DT,CLM_YR,CLM_AMT,RCPT_DT,RCPT_DAY,DAY_TAG,CLM.STAT,REIMB_DT,REIMB_YR,EA_DT
0,11869,WSA,EFSA0087162,FLXI,5.0,04/11/16,2016,492.0,29/09/16,Thursday,WEEKDAY,3,03/01/17,2017,21/09/17
1,8965,WSA,EFSA0087207,FLXI,4.0,09/11/16,2016,471.0,30/09/16,Friday,WEEKDAY,3,03/01/17,2017,21/09/17
2,8998,WSA,EFSA0087210,FLXI,6.0,09/11/16,2016,496.0,30/09/16,Friday,WEEKDAY,3,07/01/17,2017,21/09/17
3,2098,WSA,EFSA0087208,FLXI,2.0,09/11/16,2016,464.0,03/10/16,Monday,WEEKDAY,3,05/01/17,2017,21/09/17
4,9331,WSA,EFSA0087236,FLXI,2.0,11/11/16,2016,454.0,06/10/16,Thursday,WEEKDAY,3,02/01/17,2017,21/09/17
5,1841,WSA,EFSA0087222,FLXI,3.0,10/11/16,2016,467.0,06/10/16,Thursday,WEEKDAY,3,06/01/17,2017,21/09/17
6,8995,WSA,EFSA0087181,FLXI,4.0,07/11/16,2016,500.0,07/10/16,Friday,WEEKDAY,3,02/01/17,2017,21/09/17
7,8262,WSA,EFSA0087209,FLXI,7.0,09/11/16,2016,493.0,07/10/16,Friday,WEEKDAY,3,03/01/17,2017,21/09/17
8,8755,WSA,EFSA0087163,FLXI,4.0,05/11/16,2016,500.0,08/10/16,Saturday,WEEKEND,3,01/01/17,2017,21/09/17
9,3348,WSA,EFSA0087303,FLXI,5.0,15/11/16,2016,468.0,08/10/16,Saturday,WEEKEND,3,01/01/17,2017,21/09/17
10,7118,WSA,EFSA0087223,FLXI,2.0,10/11/16,2016,490.0,08/10/16,Saturday,WEEKEND,3,03/01/17,2017,21/09/17
11,9631,WSA,EFSA0087255,FLXI,8.0,12/11/16,2016,451.0,09/10/16,Sunday,WEEKEND,3,04/01/17,2017,21/09/17
12,11894,WSA,EFSA0087317,FLXI,5.0,16/11/16,2016,457.0,09/10/16,Sunday,WEEKEND,3,04/01/17,2017,21/09/17
13,8792,WSA,EFSA0087287,FLXI,8.0,14/11/16,2016,490.0,09/10/16,Sunday,WEEKEND,3,09/01/17,2017,21/09/17
14,2112,WSA,EFSA0087161,BIRT,,04/11/16,2016,19.6,10/10/16,Monday,WEEKDAY,3,02/01/17,2017,21/09/17
15,9572,WSA,EFSA0087167,BIRT,,05/11/16,2016,29.4,10/10/16,Monday,WEEKDAY,3,03/01/17,2017,21/09/17
16,9763,WSA,EFSA0087178,FLXI,3.0,06/11/16,2016,10.9,10/10/16,Monday,WEEKDAY,3,03/01/17,2017,21/09/17
17,9495,WSA,EFSA0087176,FLXI,3.0,06/11/16,2016,50.0,11/10/16,Tuesday,WEEKDAY,3,02/01/17,2017,21/09/17
18,6616,WSA,EFSA0087188,FLXI,5.0,07/11/16,2016,6.56,11/10/16,Tuesday,WEEKDAY,3,02/01/17,2017,21/09/17
19,10519,WSA,EFSA0087168,BIRT,,05/11/16,2016,5.7,11/10/16,Tuesday,WEEKDAY,3,04/01/17,2017,21/09/17
20,1738,WSA,EFSA0087201,MIIS,,09/11/16,2016,100.0,11/10/16,Tuesday,WEEKDAY,3,05/01/17,2017,21/09/17
21,10154,WSA,EFSA0087191,FLXI,4.0,08/11/16,2016,141.0,12/10/16,Wednesday,WEEKDAY,3,01/01/17,2017,21/09/17
22,2426,WSA,EFSA0087410,FLXI,2.0,20/11/16,2016,497.0,12/10/16,Wednesday,WEEKDAY,3,02/01/17,2017,21/09/17
23,8108,WSA,EFSA0087187,BIRT,,07/11/16,2016,10.8,12/10/16,Wednesday,WEEKDAY,3,03/01/17,2017,21/09/17
24,4313,WSA,EFSA0087246,FLXI,3.0,12/11/16,2016,69.0,12/10/16,Wednesday,WEEKDAY,3,05/01/17,2017,21/09/17
25,6373,WSA,EFSA0087447,FLXI,3.0,21/11/16,2016,485.0,12/10/16,Wednesday,WEEKDAY,3,05/01/17,2017,21/09/17
26,10506,WSA,EFSA0087271,FLXI,4.0,13/11/16,2016,471.0,12/10/16,Wednesday,WEEKDAY,3,06/01/17,2017,21/09/17
27,8382,WSA,EFSA0087302,FLXI,5.0,15/11/16,2016,464.0,12/10/16,Wednesday,WEEKDAY,3,09/01/17,2017,21/09/17
28,11449,WSA,EFSA0087361,FLXI,7.0,18/11/16,2016,462.0,12/10/16,Wednesday,WEEKDAY,3,15/01/17,2017,21/09/17
29,8457,WSA,EFSA0087164,FLXI,1.0,05/11/16,2016,210.0,13/10/16,Thursday,WEEKDAY,3,02/01/17,2017,21/09/17
30,8692,WSA,EFSA0087381,FLXI,6.0,19/11/16,2016,466.0,14/10/16,Friday,WEEKDAY,3,04/01/17,2017,21/09/17
31,7961,WSA,EFSA0087218,BIRT,,10/11/16,2016,30.0,14/10/16,Friday,WEEKDAY,3,08/01/17,2017,21/09/17
32,5800,WSA,EFSA0087286,BIRT,,14/11/16,2016,3.7,14/10/16,Friday,WEEKDAY,3,09/01/17,2017,21/09/17
33,2172,WSA,EFSA0087508,FLXI,2.0,23/11/16,2016,480.0,14/10/16,Friday,WEEKDAY,3,14/01/17,2017,21/09/17
34,7914,WSA,EFSA0087383,FLXI,7.0,19/11/16,2016,461.0,14/10/16,Friday,WEEKDAY,3,18/01/17,2017,21/09/17
35,5206,WSA,EFSA0087539,FLXI,4.0,24/11/16,2016,452.0,15/10/16,Saturday,WEEKEND,3,03/01/17,2017,21/09/17
36,7334,WSA,EFSA0087338,FLXI,7.0,17/11/16,2016,487.0,15/10/16,Saturday,WEEKEND,3,04/01/17,2017,21/09/17
37,9799,WSA,EFSA0087337,FLXI,2.0,17/11/16,2016,495.0,15/10/16,Saturday,WEEKEND,3,06/01/17,2017,21/09/17
38,3489,WSA,EFSA0087270,BIRT,,13/11/16,2016,4.5,15/10/16,Saturday,WEEKEND,3,07/01/17,2017,21/09/17
39,9969,WSA,EFSA0087382,FLXI,1.0,19/11/16,2016,486.0,15/10/16,Saturday,WEEKEND,3,07/01/17,2017,21/09/17
40,8476,WSA,EFSA0087297,BIRT,,15/11/16,2016,11.8,15/10/16,Saturday,WEEKEND,3,08/01/17,2017,21/09/17
41,4960,WSA,EFSA0087336,FLXI,3.0,17/11/16,2016,488.0,15/10/16,Saturday,WEEKEND,3,10/01/17,2017,21/09/17
42,5680,WSA,EFSA0087408,FLXI,4.0,20/11/16,2016,498.0,15/10/16,Saturday,WEEKEND,3,18/01/17,2017,21/09/17
43,9964,WSA,EFSA0087166,BIRT,,05/11/16,2016,30.0,16/10/16,Sunday,WEEKEND,3,01/01/17,2017,21/09/17
44,10290,WSA,EFSA0087214,FLXI,3.0,10/11/16,2016,219.0,16/10/16,Sunday,WEEKEND,3,04/01/17,2017,21/09/17
45,10635,WSA,EFSA0087220,BIRT,,10/11/16,2016,6.0,16/10/16,Sunday,WEEKEND,3,06/01/17,2017,21/09/17
46,5403,WSA,EFSA0087409,FLXI,2.0,20/11/16,2016,499.0,16/10/16,Sunday,WEEKEND,3,16/01/17,2017,21/09/17
47,3592,WSA,EFSA0087507,FLXI,2.0,23/11/16,2016,475.0,16/10/16,Sunday,WEEKEND,3,20/01/17,2017,21/09/17
